Origin,Origin_name,Origin_address,Origin_latitude,Origin_longitude,Destination,Destination_name,Destination_address,Destination_latitude,Destination_longitude
SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711,SO04,Jardin Communautaire Pointe-Verte,"Rue Knox & Rue Charlevoix, Ahuntsic-Cartierville, Montréal, QC H3K 2Y6",45.477365999999996,-73.56442
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO04,Jardin Communautaire Pointe-Verte,"Rue Knox & Rue Charlevoix, Ahuntsic-Cartierville, Montréal, QC H3K 2Y6",45.477365999999996,-73.56442
SO01,Eco-Quartier/YMCA,"255 Avenue Ash, Montreal, QC H3K 2R1",45.478343,-73.55185300000001,SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586
SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665,SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586
SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401,SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586
SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999,SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586
SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399,SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586
SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646,SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586
SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665,SO06,Mission of the great Shepherd,"2510 Centre St, Montreal, QC H3K 1J8",45.478924,-73.568314
SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711,SO06,Mission of the great Shepherd,"2510 Centre St, Montreal, QC H3K 1J8",45.478924,-73.568314
SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399,SO06,Mission of the great Shepherd,"2510 Centre St, Montreal, QC H3K 1J8",45.478924,-73.568314
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO06,Mission of the great Shepherd,"2510 Centre St, Montreal, QC H3K 1J8",45.478924,-73.568314
SO01,Eco-Quartier/YMCA,"255 Avenue Ash, Montreal, QC H3K 2R1",45.478343,-73.55185300000001,SO07,Compost Montréal,"209A Rue Maria, Montréal, QC H4C 2N9",45.477127,-73.581227
SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401,SO07,Compost Montréal,"209A Rue Maria, Montréal, QC H4C 2N9",45.477127,-73.581227
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO07,Compost Montréal,"209A Rue Maria, Montréal, QC H4C 2N9",45.477127,-73.581227
SO01,Eco-Quartier/YMCA,"255 Avenue Ash, Montreal, QC H3K 2R1",45.478343,-73.55185300000001,SO08,Coalition Petite Bourgogne/Marché Citoyen,"741 Rue des Seigneurs, Montreal, QC H3J 1Y2",45.489160999999996,-73.57209499999999
SO12,Maison de Jeunes L'Escampette,"525 Rue Dominion, Montreal, QC H3J 2B4",45.484598,-73.57345600000001,SO08,Coalition Petite Bourgogne/Marché Citoyen,"741 Rue des Seigneurs, Montreal, QC H3J 1Y2",45.489160999999996,-73.57209499999999
SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401,SO08,Coalition Petite Bourgogne/Marché Citoyen,"741 Rue des Seigneurs, Montreal, QC H3J 1Y2",45.489160999999996,-73.57209499999999
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO08,Coalition Petite Bourgogne/Marché Citoyen,"741 Rue des Seigneurs, Montreal, QC H3J 1Y2",45.489160999999996,-73.57209499999999
SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646,SO08,Coalition Petite Bourgogne/Marché Citoyen,"741 Rue des Seigneurs, Montreal, QC H3J 1Y2",45.489160999999996,-73.57209499999999
SO21,Le Garde Manger pour Tous,"1945 Rue Mullins, Montreal, QC H3K 1M7",45.481327,-73.561369,SO08,Coalition Petite Bourgogne/Marché Citoyen,"741 Rue des Seigneurs, Montreal, QC H3J 1Y2",45.489160999999996,-73.57209499999999
SO01,Eco-Quartier/YMCA,"255 Avenue Ash, Montreal, QC H3K 2R1",45.478343,-73.55185300000001,SO09,Mission Bon Accueil,"4755 Rue Acorn, Montreal, QC H4C 3L6",45.472713,-73.591561
SO03,Maison D'Entreaide Ville Emard/Cote Saint Paul,"5999 Rue Drake, Montreal, QC H4E 4G8",45.457815999999994,-73.582391,SO09,Mission Bon Accueil,"4755 Rue Acorn, Montreal, QC H4C 3L6",45.472713,-73.591561
SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399,SO09,Mission Bon Accueil,"4755 Rue Acorn, Montreal, QC H4C 3L6",45.472713,-73.591561
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO09,Mission Bon Accueil,"4755 Rue Acorn, Montreal, QC H4C 3L6",45.472713,-73.591561
SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401,SO10,Maison du Partage d'Youville,"2221 Rue de Coleraine, Montreal, QC H3K 1S2",45.477790999999996,-73.561915
SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711,SO10,Maison du Partage d'Youville,"2221 Rue de Coleraine, Montreal, QC H3K 1S2",45.477790999999996,-73.561915
SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399,SO10,Maison du Partage d'Youville,"2221 Rue de Coleraine, Montreal, QC H3K 1S2",45.477790999999996,-73.561915
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO10,Maison du Partage d'Youville,"2221 Rue de Coleraine, Montreal, QC H3K 1S2",45.477790999999996,-73.561915
SO06,Mission of the great Shepherd,"2510 Centre St, Montreal, QC H3K 1J8",45.478924,-73.568314,SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO10,Maison du Partage d'Youville,"2221 Rue de Coleraine, Montreal, QC H3K 1S2",45.477790999999996,-73.561915,SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO12,Maison de Jeunes L'Escampette,"525 Rue Dominion, Montreal, QC H3J 2B4",45.484598,-73.57345600000001,SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665,SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711,SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399,SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665,SO12,Maison de Jeunes L'Escampette,"525 Rue Dominion, Montreal, QC H3J 2B4",45.484598,-73.57345600000001
SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711,SO12,Maison de Jeunes L'Escampette,"525 Rue Dominion, Montreal, QC H3J 2B4",45.484598,-73.57345600000001
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO12,Maison de Jeunes L'Escampette,"525 Rue Dominion, Montreal, QC H3J 2B4",45.484598,-73.57345600000001
SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646,SO12,Maison de Jeunes L'Escampette,"525 Rue Dominion, Montreal, QC H3J 2B4",45.484598,-73.57345600000001
SO01,Eco-Quartier/YMCA,"255 Avenue Ash, Montreal, QC H3K 2R1",45.478343,-73.55185300000001,SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO03,Maison D'Entreaide Ville Emard/Cote Saint Paul,"5999 Rue Drake, Montreal, QC H4E 4G8",45.457815999999994,-73.582391,SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586,SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665,SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401,SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999,SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399,SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665
SO10,Maison du Partage d'Youville,"2221 Rue de Coleraine, Montreal, QC H3K 1S2",45.477790999999996,-73.561915,SO14,DESTA Black Youth Network,"1950 Saint-Antoine St W, Montreal, QC H3J 1A5",45.489574,-73.575462
SO12,Maison de Jeunes L'Escampette,"525 Rue Dominion, Montreal, QC H3J 2B4",45.484598,-73.57345600000001,SO14,DESTA Black Youth Network,"1950 Saint-Antoine St W, Montreal, QC H3J 1A5",45.489574,-73.575462
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO14,DESTA Black Youth Network,"1950 Saint-Antoine St W, Montreal, QC H3J 1A5",45.489574,-73.575462
SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646,SO14,DESTA Black Youth Network,"1950 Saint-Antoine St W, Montreal, QC H3J 1A5",45.489574,-73.575462
SO01,Eco-Quartier/YMCA,"255 Avenue Ash, Montreal, QC H3K 2R1",45.478343,-73.55185300000001,SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401
SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586,SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401
SO07,Compost Montréal,"209A Rue Maria, Montréal, QC H4C 2N9",45.477127,-73.581227,SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401
SO08,Coalition Petite Bourgogne/Marché Citoyen,"741 Rue des Seigneurs, Montreal, QC H3J 1Y2",45.489160999999996,-73.57209499999999,SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401
SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665,SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401
SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999,SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401
SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399,SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401
SO02,CRCS St-Zotique,"75 Rue du Square Sir George Étienne Cartier, Montréal, QC H4C 3A1",45.473064,-73.583711,SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711
SO03,Maison D'Entreaide Ville Emard/Cote Saint Paul,"5999 Rue Drake, Montreal, QC H4E 4G8",45.457815999999994,-73.582391,SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711
SO09,Mission Bon Accueil,"4755 Rue Acorn, Montreal, QC H4C 3L6",45.472713,-73.591561,SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711
SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401,SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711
SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646,SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711
SO01,Eco-Quartier/YMCA,"255 Avenue Ash, Montreal, QC H3K 2R1",45.478343,-73.55185300000001,SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999
SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586,SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999
SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665,SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999
SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401,SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999
SO16,Pro-Vert Sud Ouest,"75 Rue du Square Sir George Étienne Cartier, Montreal, QC H4C 3A1",45.473064,-73.583711,SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999
SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646,SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999
SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586,SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399
SO06,Mission of the great Shepherd,"2510 Centre St, Montreal, QC H3K 1J8",45.478924,-73.568314,SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399
SO07,Compost Montréal,"209A Rue Maria, Montréal, QC H4C 2N9",45.477127,-73.581227,SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399
SO11,Maison de Jeunes de PSC L'Adozone,"1850 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665,SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399
SO13,Club Populaire des Consommateurs,"1956 Rue Grand Trunk, Montreal, QC H3K 1N9",45.481343,-73.561665,SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399
SO15,Share the warmth/Partageons l'espoir,"625 Rue Fortune, Montreal, QC H3K 2R9",45.478148,-73.559401,SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399
SO17,Batiment 7 / Collectif 7 à nous,"1950 Rue du Centre, Montreal, QC H3K 1J2",45.482094000000004,-73.56312199999999,SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399
SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001,SO18,Saint Columba House,"2365 Rue Grand Trunk, Montreal, QC H3K 1M8",45.478913,-73.565399
SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586,SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001
SO10,Maison du Partage d'Youville,"2221 Rue de Coleraine, Montreal, QC H3K 1S2",45.477790999999996,-73.561915,SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001
SO14,DESTA Black Youth Network,"1950 Saint-Antoine St W, Montreal, QC H3J 1A5",45.489574,-73.575462,SO19,Craig Sauvé/Projet Montreal,"1055 Boulevard René-Lévesque E, suite 1100, Montréal, QC H2L 4S5",45.516465999999994,-73.55528100000001
SO01,Eco-Quartier/YMCA,"255 Avenue Ash, Montreal, QC H3K 2R1",45.478343,-73.55185300000001,SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646
SO05,Action Gardien,"2533 Rue du Centre, Montreal, QC H3K 1J9",45.478734,-73.568586,SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646
SO08,Coalition Petite Bourgogne/Marché Citoyen,"741 Rue des Seigneurs, Montreal, QC H3J 1Y2",45.489160999999996,-73.57209499999999,SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646
SO10,Maison du Partage d'Youville,"2221 Rue de Coleraine, Montreal, QC H3K 1S2",45.477790999999996,-73.561915,SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646
SO12,Maison de Jeunes L'Escampette,"525 Rue Dominion, Montreal, QC H3J 2B4",45.484598,-73.57345600000001,SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646
SO14,DESTA Black Youth Network,"1950 Saint-Antoine St W, Montreal, QC H3J 1A5",45.489574,-73.575462,SO20,Atelier 850,"850 Rue des Seigneurs, Montréal, QC H3J 1Y5",45.490185,-73.574646
